[ 5875.311671] starting process tree print
[ 5875.311787] pid: 1122, parent_pid: 1, name: gvfs-udisks2-vo, state: interruptable , state(num): 1
[ 5875.311789] pid: 1136, parent_pid: 1, name: goa-daemon, state: interruptable , state(num): 1
[ 5875.311790] pid: 1133, parent_pid: 1, name: gvfs-goa-volume, state: interruptable , state(num): 1
[ 5875.311792] pid: 1146, parent_pid: 1, name: gvfs-gphoto2-vo, state: interruptable , state(num): 1
[ 5875.311794] pid: 1150, parent_pid: 1, name: gvfs-mtp-volume, state: interruptable , state(num): 1
[ 5875.311795] pid: 1154, parent_pid: 1, name: gvfs-afc-volume, state: interruptable , state(num): 1
[ 5875.311797] pid: 1145, parent_pid: 1, name: mission-control, state: interruptable , state(num): 1
[ 5875.311798] pid: 1165, parent_pid: 1, name: gsd-printer, state: interruptable , state(num): 1
[ 5875.311800] pid: 1182, parent_pid: 1, name: evolution-sourc, state: interruptable , state(num): 1
[ 5875.311801] pid: 1178, parent_pid: 1, name: gnome-shell-cal, state: interruptable , state(num): 1
[ 5875.311802] pid: 1203, parent_pid: 1, name: tracker-store, state: interruptable , state(num): 1
[ 5875.311804] pid: 1227, parent_pid: 1, name: zeitgeist-daemo, state: interruptable , state(num): 1
[ 5875.311805] pid: 1249, parent_pid: 1, name: gconfd-2, state: interruptable , state(num): 1
[ 5875.311807] pid: 1237, parent_pid: 1, name: zeitgeist-fts, state: interruptable , state(num): 1
[ 5875.311808] pid: 1247, parent_pid: 1237, name: cat, state: interruptable , state(num): 1
[ 5875.311810] pid: 1263, parent_pid: 1, name: gvfsd-trash, state: interruptable , state(num): 1
[ 5875.311811] pid: 1286, parent_pid: 1, name: gvfsd-metadata, state: interruptable , state(num): 1
[ 5875.311813] pid: 1290, parent_pid: 1, name: gvfsd-burn, state: interruptable , state(num): 1
[ 5875.311814] pid: 1256, parent_pid: 1, name: evolution-calen, state: interruptable , state(num): 1
[ 5875.311816] pid: 1330, parent_pid: 1, name: gnome-terminal-, state: interruptable , state(num): 1
[ 5875.311817] pid: 1333, parent_pid: 1330, name: gnome-pty-helpe, state: interruptable , state(num): 1
[ 5875.311819] pid: 1334, parent_pid: 1330, name: bash, state: interruptable , state(num): 1
[ 5875.311820] pid: 1729, parent_pid: 1334, name: su, state: interruptable , state(num): 1
[ 5875.311822] pid: 1730, parent_pid: 1729, name: bash, state: interruptable , state(num): 1
[ 5875.311823] pid: 3766, parent_pid: 1730, name: sleep, state: stopped wakekill , state(num): 132
[ 5875.311825] pid: 25982, parent_pid: 1730, name: bash, state: interruptable , state(num): 1
[ 5875.311826] pid: 26839, parent_pid: 25982, name: insmod, state: running, state(num): 0
[ 5875.311827] pid: 1372, parent_pid: 1, name: sublime_text, state: interruptable , state(num): 1
[ 5875.311829] pid: 1382, parent_pid: 1372, name: plugin_host, state: interruptable , state(num): 1
[ 5875.311830] pid: 2, parent_pid: 0, name: kthreadd, state: interruptable , state(num): 1
[ 5875.311831] pid: 3, parent_pid: 2, name: ksoftirqd/0, state: interruptable , state(num): 1
[ 5875.311833] pid: 5, parent_pid: 2, name: kworker/0:0H, state: interruptable , state(num): 1
[ 5875.311836] pid: 7, parent_pid: 2, name: rcu_sched, state: interruptable , state(num): 1
[ 5875.311837] pid: 8, parent_pid: 2, name: rcu_bh, state: interruptable , state(num): 1
[ 5875.311839] pid: 9, parent_pid: 2, name: migration/0, state: interruptable , state(num): 1
[ 5875.311840] pid: 10, parent_pid: 2, name: watchdog/0, state: interruptable , state(num): 1
[ 5875.311842] pid: 11, parent_pid: 2, name: khelper, state: interruptable , state(num): 1
[ 5875.311844] pid: 12, parent_pid: 2, name: kdevtmpfs, state: interruptable , state(num): 1
[ 5875.311845] pid: 13, parent_pid: 2, name: netns, state: interruptable , state(num): 1
[ 5875.311846] pid: 14, parent_pid: 2, name: khungtaskd, state: interruptable , state(num): 1
[ 5875.311848] pid: 15, parent_pid: 2, name: writeback, state: interruptable , state(num): 1
[ 5875.311849] pid: 16, parent_pid: 2, name: ksmd, state: interruptable , state(num): 1
[ 5875.311850] pid: 17, parent_pid: 2, name: khugepaged, state: interruptable , state(num): 1
[ 5875.311852] pid: 18, parent_pid: 2, name: crypto, state: interruptable , state(num): 1
[ 5875.311853] pid: 19, parent_pid: 2, name: kintegrityd, state: interruptable , state(num): 1
[ 5875.311854] pid: 20, parent_pid: 2, name: bioset, state: interruptable , state(num): 1
[ 5875.311856] pid: 21, parent_pid: 2, name: kblockd, state: interruptable , state(num): 1
[ 5875.311857] pid: 23, parent_pid: 2, name: kswapd0, state: interruptable , state(num): 1
[ 5875.311858] pid: 24, parent_pid: 2, name: vmstat, state: interruptable , state(num): 1
[ 5875.311860] pid: 25, parent_pid: 2, name: fsnotify_mark, state: interruptable , state(num): 1
[ 5875.311861] pid: 31, parent_pid: 2, name: kthrotld, state: interruptable , state(num): 1
[ 5875.311863] pid: 32, parent_pid: 2, name: ipv6_addrconf, state: interruptable , state(num): 1
[ 5875.311864] pid: 33, parent_pid: 2, name: deferwq, state: interruptable , state(num): 1
[ 5875.311866] pid: 68, parent_pid: 2, name: ata_sff, state: interruptable , state(num): 1
[ 5875.311867] pid: 69, parent_pid: 2, name: scsi_eh_0, state: interruptable , state(num): 1
[ 5875.311869] pid: 70, parent_pid: 2, name: scsi_tmf_0, state: interruptable , state(num): 1
[ 5875.311870] pid: 71, parent_pid: 2, name: scsi_eh_1, state: interruptable , state(num): 1
[ 5875.311871] pid: 72, parent_pid: 2, name: scsi_tmf_1, state: interruptable , state(num): 1
[ 5875.311873] pid: 75, parent_pid: 2, name: khubd, state: interruptable , state(num): 1
